Layer,Q1 (bits 0-7)_MSE,Q1 (bits 0-7)_Std,Q1 (bits 0-7)_NaN%,Q2 (bits 8-15)_MSE,Q2 (bits 8-15)_Std,Q2 (bits 8-15)_NaN%,Q3 (bits 16-23)_MSE,Q3 (bits 16-23)_Std,Q3 (bits 16-23)_NaN%,Q4 (bits 24-31)_MSE,Q4 (bits 24-31)_Std,Q4 (bits 24-31)_NaN%
fno_blocks.convs.0,7.261659035000778e-12,2.1801632855388563e-12,0.0,4.901958930699033e-11,2.2201592717074013e-11,0.0,3.403478430913534e-08,5.976710854867522e-08,0.0,,,100.0
fno_blocks.convs.1,5.859000962063314e-12,1.9442782313995426e-12,0.0,3.230974616687168e-11,1.2133462795081437e-11,0.0,3.2229856932596594e-08,5.24722049437499e-08,0.0,,,100.0
fno_blocks.convs.2,1.2153597401371419e-12,7.446587180266041e-13,0.0,1.5262045503360456e-11,6.860119492290362e-12,0.0,1.715448379892106e-08,2.2281273591788685e-08,0.0,,,100.0
fno_blocks.convs.3,6.162114958921384e-15,3.1401908691527777e-14,0.0,3.446251273882175e-12,3.0526951550847218e-12,0.0,1.508062179484229e-07,2.3776035883297814e-07,0.0,,,100.0
fno_blocks.fno_skips.0.conv,5.905540539550245e-12,2.3103292539533565e-12,0.0,2.25460035604844e-11,9.030893682092332e-12,0.0,1.0063420556414373e-08,2.2489950700503826e-08,0.0,,,100.0
fno_blocks.fno_skips.1.conv,4.7629473286193636e-12,1.8513756352892205e-12,0.0,1.496399361092726e-11,4.0576162690703975e-12,0.0,3.6650805174856854e-09,2.948370841759945e-09,0.0,,,100.0
fno_blocks.fno_skips.2.conv,1.0300156716371199e-12,7.015643515872978e-13,0.0,5.895543504698831e-12,2.62979130889333e-12,0.0,2.621551341025236e-09,1.5741590223873949e-09,0.0,,,100.0
fno_blocks.fno_skips.3.conv,7.710443394870479e-16,4.459195849749747e-15,0.0,9.542853107876413e-13,9.87526315055026e-13,0.0,9.67043350898007e-09,8.978618910618342e-09,0.0,,,100.0
fno_blocks.channel_mlp.0.fcs.0,8.756441272669401e-12,2.1849140654511863e-12,0.0,7.419030166942558e-11,2.9876316077631066e-11,0.0,4.582516566070468e-08,4.876353433131598e-08,0.0,2.750773680118109e+24,0.0,99.0
fno_blocks.channel_mlp.0.fcs.1,8.323826540155514e-12,2.097400540520668e-12,0.0,5.6261398663655633e-11,2.045835278690871e-11,0.0,6.919447102772529e-08,9.111882483989221e-08,0.0,,,100.0
fno_blocks.channel_mlp.1.fcs.0,6.032561763937451e-12,1.9658553438385223e-12,0.0,5.3910073958348014e-11,1.9484353070834367e-11,0.0,4.8466029387841806e-08,5.1170380687529374e-08,0.0,9.709177593045194e+32,0.0,99.0
fno_blocks.channel_mlp.1.fcs.1,5.397083724910118e-12,1.850760660514989e-12,0.0,4.20299532705279e-11,1.5340224251082754e-11,0.0,3.3544424677731465e-08,3.964089181480964e-08,0.0,,,100.0
fno_blocks.channel_mlp.2.fcs.0,1.3866066518185458e-12,8.169630668502931e-13,0.0,2.8476539815883332e-11,1.1803297211867362e-11,0.0,6.071198543563866e-08,1.1591830820784059e-07,0.0,2.0729677725987482e+30,0.0,99.0
fno_blocks.channel_mlp.2.fcs.1,1.276696827933171e-12,8.383350694865217e-13,0.0,2.2254042252945263e-11,6.83690189705421e-12,0.0,4.6194276422013095e-08,6.557540133134576e-08,0.0,,,100.0
fno_blocks.channel_mlp.3.fcs.0,2.0967973906639568e-14,1.1834903099678165e-13,0.0,1.1740730551808822e-11,9.501007007824469e-12,0.0,9.177927416250148e-07,2.355801146566072e-06,0.0,,,100.0
fno_blocks.channel_mlp.3.fcs.1,2.6548693831448397e-14,2.1877101992289212e-13,0.0,3.5765071752704574e-12,4.519108369754831e-12,0.0,2.3831863064148112e-07,3.801458594501011e-07,0.0,,,100.0
lifting.fcs.0,2.5306193059040226e-13,5.818579445535843e-13,0.0,6.40369080471691e-11,2.0951795479647194e-11,0.0,6.501014958806368e-08,1.942235595872203e-07,0.0,,,100.0
lifting.fcs.1,1.0380749863696247e-11,2.56862772637218e-12,0.0,1.2884142158210448e-10,2.7952228943372826e-11,0.0,1.5800004058288358e-07,1.2546986326296832e-07,0.0,,,100.0
projection.fcs.0,9.406450228108265e-17,1.1353501888378963e-16,0.0,6.545683024035062e-12,7.864256353899198e-12,0.0,5.403537769631198e-07,9.95469024006546e-07,0.0,,,100.0
projection.fcs.1,5.68593418885873e-14,2.417834816990022e-14,0.0,3.928994449766418e-09,1.5559191779811168e-09,0.0,0.00035311986357847527,0.0002399421876141946,0.0,,,100.0
