Layer,Q1 (bits 0-7)_MSE,Q1 (bits 0-7)_Std,Q1 (bits 0-7)_NaN%,Q2 (bits 8-15)_MSE,Q2 (bits 8-15)_Std,Q2 (bits 8-15)_NaN%,Q3 (bits 16-23)_MSE,Q3 (bits 16-23)_Std,Q3 (bits 16-23)_NaN%,Q4 (bits 24-31)_MSE,Q4 (bits 24-31)_Std,Q4 (bits 24-31)_NaN%
fno_blocks.convs.0 [Real],4.892109601922421e-12,3.970396539331504e-12,0.0,1.1052832488102002e-11,3.3213915345836882e-12,0.0,7.297853871942628e-10,1.4426742323151836e-09,0.0,1.073958300668778e+32,9.37779554702755e+32,22.0
fno_blocks.convs.0 [Imag],5.262939417030511e-12,3.614269658083646e-12,0.0,1.110716987318171e-11,5.095185688789158e-12,0.0,7.222833305808234e-10,1.629033046894755e-09,0.0,1.445177581343528e+27,1.2845019310527193e+28,20.0
fno_blocks.convs.1 [Real],3.959078284849517e-12,2.6425609557791197e-12,0.0,1.2565758979198905e-11,1.111115958135368e-11,0.0,1.553994006931023e-09,3.2000492476372377e-09,0.0,4.384443057312985e+30,3.85014572355525e+31,21.0
fno_blocks.convs.1 [Imag],4.3884783209723745e-12,2.753492246763678e-12,0.0,1.046972570811853e-11,7.1079450753586585e-12,0.0,1.3915378950943083e-09,3.377503574887802e-09,0.0,1.4807003054853776e+29,1.2823196472805172e+30,24.0
fno_blocks.convs.2 [Real],1.535792674999849e-12,1.2854685205441686e-12,0.0,7.693262288810052e-12,6.144919420723437e-12,0.0,1.0767731485283871e-09,1.934367079990366e-09,0.0,1.3474836046018407e+29,1.1590623734571974e+30,22.0
fno_blocks.convs.2 [Imag],1.3060688055480282e-12,1.1135050377793396e-12,0.0,7.927511237726653e-12,9.594667905588616e-12,0.0,9.494248633014974e-10,1.919919972008659e-09,0.0,2.6743006564280448e+28,1.7708988132895363e+29,27.0
fno_blocks.convs.3 [Real],1.5764858895313958e-14,3.886026623040118e-14,0.0,1.9013855215343e-12,2.49091487785056e-12,0.0,6.695319718711281e-10,9.198140713333392e-10,0.0,2.572682348353867e+28,2.22583131293739e+29,23.0
fno_blocks.convs.3 [Imag],8.619094186198412e-15,2.427701794712956e-14,0.0,2.994024265155511e-12,5.336013074245491e-12,0.0,8.035847216930062e-10,2.134629243137648e-09,0.0,3.1619762316509392e+32,2.1982153993506332e+33,13.0
fno_blocks.fno_skips.0.conv,1.0032525008321638e-11,2.2868816871782e-12,0.0,1.232069368011868e-10,1.7182460762749984e-10,0.0,2.2034507529844183e-07,7.106291261486578e-07,0.0,3.8228402687957045e+31,3.1144329678738184e+32,27.0
fno_blocks.fno_skips.1.conv,7.442718381184266e-12,1.8162968511956008e-12,0.0,1.242227412882836e-10,2.117249579407815e-10,0.0,3.70106793706025e-07,1.7462695866428066e-06,0.0,9.148398422974406e+32,5.945346484664378e+33,18.0
fno_blocks.fno_skips.2.conv,3.384047305929078e-12,2.520400587616858e-12,0.0,1.148230682281731e-10,2.699918713428966e-10,0.0,1.054800387860463e-06,6.857339402733556e-06,0.0,7.245952139125228e+19,6.018939858779992e+20,30.0
fno_blocks.fno_skips.3.conv,2.5737401986112433e-13,5.249649015636348e-13,0.0,1.0191208272577025e-10,2.3256831033198087e-10,0.0,5.138296189986977e-07,3.100629869223418e-06,0.0,1.5392152058957653e+32,1.2409420919313778e+33,34.0
fno_blocks.channel_mlp.0.fcs.0,1.0850897044670064e-11,3.730279023405407e-12,0.0,7.406950348023209e-10,1.6051923846403668e-09,0.0,1.5048338167649547e-05,0.00010594832682029638,0.0,1.3696399916646695e+33,1.0795870665269512e+34,32.0
