Layer,Q1 (bits 0-7)_MSE,Q1 (bits 0-7)_Std,Q1 (bits 0-7)_NaN%,Q2 (bits 8-15)_MSE,Q2 (bits 8-15)_Std,Q2 (bits 8-15)_NaN%,Q3 (bits 16-23)_MSE,Q3 (bits 16-23)_Std,Q3 (bits 16-23)_NaN%,Q4 (bits 24-31)_MSE,Q4 (bits 24-31)_Std,Q4 (bits 24-31)_NaN%
fno_blocks.convs.0,6.257426732802704e-12,3.4695950268653214e-12,0.0,2.5834367045791953e-11,7.174984640711396e-12,0.0,1.3541214455726342e-09,4.833916115044162e-10,0.0,1.0528599131147572e-07,0.0,50.0
fno_blocks.convs.1,4.4854523415828465e-12,1.5471874757928827e-12,0.0,4.8857359791990715e-11,3.4952931879123766e-11,0.0,7.349741586934466e-08,6.85473667640102e-08,0.0,4.450472079753354e-08,0.0,50.0
fno_blocks.convs.2,2.626149129972624e-12,2.56905424125993e-12,0.0,3.8404612118497075e-12,1.0111579921891905e-12,0.0,6.502331149752828e-10,5.556759539483702e-10,0.0,2.9472025393773026e-08,0.0,50.0
fno_blocks.convs.3,0.0,0.0,0.0,3.5673519260120966e-13,3.2725907487402003e-13,0.0,8.692105128715877e-09,5.304841256548176e-09,0.0,,,100.0
fno_blocks.fno_skips.0.conv,6.3329805700777784e-12,6.2236081414292215e-12,0.0,1.6844736201596446e-11,1.7544699688291227e-12,0.0,3.138194295485702e-09,6.444106797655334e-10,0.0,7.039292621024984e-09,2.085642833438151e-09,0.0
fno_blocks.fno_skips.1.conv,6.691643051302821e-12,3.220119375139941e-12,0.0,2.9100292423152316e-11,1.6081623988202506e-11,0.0,5.3813327544061096e-09,5.2851040354892634e-09,0.0,1.0428657271077668e-08,0.0,50.0
fno_blocks.fno_skips.2.conv,6.921707998430726e-13,8.860715980385512e-14,0.0,8.024826582322258e-12,7.743031270410899e-12,0.0,5.367241249858677e-09,5.196445956021957e-09,0.0,3.843820749603599e-07,3.6908829245327346e-07,0.0
fno_blocks.fno_skips.3.conv,0.0,0.0,0.0,3.6793539135576706e-15,1.1648613931075636e-15,0.0,2.3752305270199893e-10,2.2028285714612016e-10,0.0,5.8046364509456436e-08,3.631275155568936e-08,0.0
fno_blocks.channel_mlp.0.fcs.0,4.781737874583192e-12,3.5605589331945404e-12,0.0,2.08162074112183e-11,9.331272110254045e-12,0.0,1.0180809943693969e-08,7.707945555435192e-09,0.0,1.7398361542575458e-07,0.0,50.0
fno_blocks.channel_mlp.0.fcs.1,5.3074118938709756e-12,6.112914916010096e-13,0.0,5.549068919207673e-12,1.4875182140737518e-12,0.0,5.78061792469789e-09,4.132013362630887e-09,0.0,2.516735458257813e-07,0.0,50.0
fno_blocks.channel_mlp.1.fcs.0,1.0188427900827135e-11,4.5468810357454654e-12,0.0,2.2967657360402694e-11,1.4267910697319738e-11,0.0,1.8071140427816655e-09,4.0586819842480793e-10,0.0,2.447950158024348e-07,1.8643028110165726e-08,0.0
fno_blocks.channel_mlp.1.fcs.1,8.356113994105117e-12,2.9947798635496932e-12,0.0,8.763558796828428e-12,2.565558881876054e-12,0.0,4.484058067910634e-09,3.4803736018163e-09,0.0,3.326171400530598e-08,1.4142889082080503e-08,0.0
fno_blocks.channel_mlp.2.fcs.0,1.3375183339353613e-12,1.1868944737626618e-12,0.0,3.4149243654212068e-12,2.9478790285544787e-12,0.0,2.0183672062856762e-08,1.558561318476537e-08,0.0,,,100.0
fno_blocks.channel_mlp.2.fcs.1,1.5464152853215952e-13,5.794783598279951e-14,0.0,4.748254952202311e-12,1.6555317501002616e-12,0.0,4.12721085085721e-10,5.597096397469399e-12,0.0,6.725608598046051e-07,6.338667833283295e-07,0.0
fno_blocks.channel_mlp.3.fcs.0,0.0,0.0,0.0,1.0045351724920214e-11,9.22456870004057e-12,0.0,2.4847588001031263e-09,2.30535064232873e-09,0.0,9.16739674394762e-08,0.0,50.0
fno_blocks.channel_mlp.3.fcs.1,0.0,0.0,0.0,3.317293705354385e-13,3.0776798210646606e-13,0.0,1.5569881891778352e-07,1.5461917213018677e-07,0.0,1.4166038926621827e-07,0.0,50.0
lifting.fcs.0,3.601713653884897e-14,3.601713653884897e-14,0.0,1.6343066461775578e-11,4.987471568553003e-12,0.0,1.2524558975629542e-07,5.14520224301207e-08,0.0,5.402279785737818e-08,0.0,50.0
lifting.fcs.1,4.938584914279676e-12,9.492643433459128e-13,0.0,1.1332090885237886e-10,9.553739831582099e-11,0.0,7.866762515018611e-09,3.728527468715992e-09,0.0,,,100.0
projection.fcs.0,0.0,0.0,0.0,4.7716843497302985e-12,4.758441123769996e-12,0.0,2.6304531539067533e-09,2.5264499312060984e-09,0.0,1.8299371977400537e-06,1.8210029685403716e-06,0.0
projection.fcs.1,1.7440302674254226e-14,6.0547920843756485e-15,0.0,4.964320510225662e-10,2.5190303176714227e-10,0.0,0.00015566593501716852,2.868904266506428e-06,0.0,,,100.0
