Layer,Q1 (bits 0-7)_MSE,Q1 (bits 0-7)_Std,Q1 (bits 0-7)_NaN%,Q2 (bits 8-15)_MSE,Q2 (bits 8-15)_Std,Q2 (bits 8-15)_NaN%,Q3 (bits 16-23)_MSE,Q3 (bits 16-23)_Std,Q3 (bits 16-23)_NaN%,Q4 (bits 24-31)_MSE,Q4 (bits 24-31)_Std,Q4 (bits 24-31)_NaN%
fno_blocks.convs.0 [Real],8.01882513298477e-12,7.98795225928281e-12,0.0,1.675124284617781e-11,2.0653308761570812e-12,0.0,6.04575227933831e-11,5.45785887459075e-11,0.0,1.5569455016906098e-09,5.840852732030832e-10,0.0
fno_blocks.convs.0 [Imag],1.1601289698869032e-12,1.1586824815584817e-12,0.0,1.0848157772471238e-11,2.653220687858641e-13,0.0,7.409365343491459e-10,2.9995521622083747e-10,0.0,2.3447508296081666e-09,1.4893021565987042e-09,0.0
fno_blocks.convs.1 [Real],1.8998327759069122e-13,1.6704540853861027e-13,0.0,9.53165985809884e-12,3.380182093427886e-12,0.0,3.438434843273941e-10,2.196600261926418e-10,0.0,1.874780641841767e-09,8.004485074764034e-10,0.0
fno_blocks.convs.1 [Imag],1.8529796295442547e-12,1.8529796295442547e-12,0.0,1.0150553688597144e-11,2.3697694143381274e-12,0.0,1.5657845012966367e-11,6.6555884230528465e-12,0.0,1.9287736741091522e-09,3.4223039957481654e-10,0.0
fno_blocks.convs.2 [Real],1.2913042217541776e-12,1.2868134997238296e-12,0.0,1.3643969808130318e-11,1.637467559548883e-12,0.0,1.9504297443079766e-10,1.9084151382125528e-10,0.0,5.982467321530294e-09,2.027582945984818e-09,0.0
fno_blocks.convs.2 [Imag],4.298774877731226e-15,4.298774877731226e-15,0.0,2.862276745913689e-12,1.9821262903577107e-12,0.0,5.2838064506415334e-11,4.494811256593005e-11,0.0,5.0542737634051704e-09,3.788384220215769e-09,0.0
fno_blocks.convs.3 [Real],5.551115123125783e-18,5.551115123125783e-18,0.0,8.844596062485e-15,3.629149931960729e-15,0.0,1.2404581754680602e-10,1.1050439226319674e-10,0.0,2.3074210708795563e-09,1.8962148518042413e-11,0.0
fno_blocks.convs.3 [Imag],0.0,0.0,0.0,5.021786480575996e-14,4.91075984130479e-14,0.0,1.646472066758192e-11,6.008717612013267e-13,0.0,3.365839462698972e-09,1.6751458997710245e-09,0.0
fno_blocks.fno_skips.0.conv,8.913918014092845e-12,5.2482164176591986e-12,0.0,2.6952103320421888e-11,2.280178831122123e-11,0.0,2.7985627037985237e-09,1.6796888879788694e-09,0.0,2.0644820430959498e-07,1.324783870160218e-07,0.0
fno_blocks.fno_skips.1.conv,1.0115386642455676e-11,5.1839718824032984e-12,0.0,4.675740174274294e-11,3.6514473416475805e-11,0.0,2.8702130686064645e-09,2.7290043766448058e-09,0.0,2.1919451796748034e-06,3.903341735167486e-07,0.0
