Layer,Q1 (bits 0-7)_MSE,Q1 (bits 0-7)_Std,Q1 (bits 0-7)_NaN%,Q2 (bits 8-15)_MSE,Q2 (bits 8-15)_Std,Q2 (bits 8-15)_NaN%,Q3 (bits 16-23)_MSE,Q3 (bits 16-23)_Std,Q3 (bits 16-23)_NaN%,Q4 (bits 24-31)_MSE,Q4 (bits 24-31)_Std,Q4 (bits 24-31)_NaN%
fno_blocks.convs.0,1.4975898967507598e-15,6.625662653773697e-17,0.0,1.8513628035783548e-15,6.402130800380334e-17,0.0,2.782842445837501e-14,6.970851182654503e-15,0.0,,,100.0
fno_blocks.convs.1,7.971109112689671e-16,5.92907548924845e-17,0.0,1.5955480457086087e-15,7.210760264266233e-17,0.0,6.914334720517775e-14,1.5475932928039598e-14,0.0,,,100.0
fno_blocks.convs.2,7.42749442793992e-17,1.2543774368097644e-17,0.0,9.821998018745154e-16,1.0512636014786606e-16,0.0,1.6632064854012428e-13,5.4111710678787114e-14,0.0,6.852291001565326e+27,0.0,99.0
fno_blocks.convs.3,4.647463008897358e-19,1.785847832635764e-18,0.0,1.0220483454196978e-16,3.86936395253262e-17,0.0,8.455155216625543e-13,3.1410588921637903e-13,0.0,,,100.0
fno_blocks.fno_skips.0.conv,1.3736453737932098e-15,7.824472798011642e-17,0.0,1.771227300987069e-15,6.025157019721648e-17,0.0,1.1428483039155046e-14,3.326532666089955e-15,0.0,4.873205767441103e+24,0.0,99.0
fno_blocks.fno_skips.1.conv,5.585552486772521e-16,5.94982013418746e-17,0.0,1.303088735308319e-15,6.410477257282298e-17,0.0,1.0314613982463663e-14,2.2311033813423775e-15,0.0,13367335431700.48,0.0,99.0
fno_blocks.fno_skips.2.conv,4.467523217107243e-17,9.312010150517504e-18,0.0,4.887389454668467e-16,6.149271381294747e-17,0.0,2.072346120447e-14,4.213286031405825e-15,0.0,2.572272100881892e+24,0.0,99.0
fno_blocks.fno_skips.3.conv,1.208512906965941e-19,7.441990776734459e-19,0.0,2.7179567185837897e-17,1.3795912461929223e-17,0.0,7.153856662131201e-14,3.2262313613781936e-14,0.0,,,100.0
fno_blocks.channel_mlp.0.fcs.0,1.589347639340591e-15,6.001514771858204e-17,0.0,2.0782710218598066e-15,8.216521033724003e-17,0.0,1.320694491273912e-13,3.577033952190028e-14,0.0,,,100.0
fno_blocks.channel_mlp.0.fcs.1,1.572160025546865e-15,6.064211759933742e-17,0.0,2.3229026705026277e-15,1.0997738005001727e-16,0.0,1.4933922681335177e-12,8.702049360782324e-13,0.0,,,100.0
fno_blocks.channel_mlp.1.fcs.0,9.186549568204464e-16,6.093632714516452e-17,0.0,2.0297411146657473e-15,1.5153340138959416e-16,0.0,2.821480750240789e-13,6.987988353823807e-14,0.0,8480331667779092.0,0.0,99.0
fno_blocks.channel_mlp.1.fcs.1,9.808141721036095e-16,5.712625990844369e-17,0.0,2.7539163732316344e-15,1.8367015681931708e-16,0.0,2.6140550541967233e-12,1.0352747942467066e-12,0.0,,,100.0
fno_blocks.channel_mlp.2.fcs.0,1.0072267404440283e-16,1.6214261252180466e-17,0.0,1.4075270432293522e-15,1.3482679747045072e-16,0.0,8.053541364882208e-13,4.124770892758384e-13,0.0,,,100.0
fno_blocks.channel_mlp.2.fcs.1,1.6765288733090746e-16,2.421878972910695e-17,0.0,3.091824796166483e-15,3.8997438904730674e-16,0.0,1.737270136211309e-11,1.1744364997318637e-11,0.0,,,100.0
fno_blocks.channel_mlp.3.fcs.0,7.2985743066702285e-19,2.0244483071293508e-18,0.0,1.4940525671178368e-16,4.311976664102973e-17,0.0,2.622462392789272e-12,1.118386247289093e-12,0.0,,,100.0
fno_blocks.channel_mlp.3.fcs.1,2.568128461705282e-19,1.0735105080529712e-18,0.0,4.861051500023059e-16,1.859465519249345e-16,0.0,4.9411028855019615e-11,2.7797778190613006e-11,0.0,,,100.0
lifting.fcs.0,1.2756723777903984e-17,2.4321475622895226e-17,0.0,1.6488863508467644e-15,1.5605515411055923e-16,0.0,3.5088225706121867e-13,4.016238918306934e-13,0.0,,,100.0
lifting.fcs.1,1.859454347402539e-15,6.192748435990791e-17,0.0,2.2600399623293295e-15,1.0432083565515633e-16,0.0,4.4076946718289173e-13,2.7083892717571e-13,0.0,,,100.0
projection.fcs.0,2.5761898706677797e-20,9.865797998583235e-21,0.0,2.0210851238936446e-15,8.859636814376596e-16,0.0,1.931511744247561e-10,1.0059605765829891e-10,0.0,2.3833496842017744e+21,0.0,99.0
projection.fcs.1,2.854744779130609e-23,8.511252473161778e-24,0.0,1.7788346594831674e-18,4.662479041221673e-19,0.0,1.259510440906492e-13,3.242155866335664e-14,0.0,,,100.0
