Layer,Q1 (bits 0-7)_MSE,Q1 (bits 0-7)_Std,Q1 (bits 0-7)_NaN%,Q2 (bits 8-15)_MSE,Q2 (bits 8-15)_Std,Q2 (bits 8-15)_NaN%,Q3 (bits 16-23)_MSE,Q3 (bits 16-23)_Std,Q3 (bits 16-23)_NaN%,Q4 (bits 24-31)_MSE,Q4 (bits 24-31)_Std,Q4 (bits 24-31)_NaN%
fno_blocks.convs.0 [Real],4.713678201543015e-16,6.292303725208181e-16,0.0,1.5373087610490725e-15,4.569430134567941e-16,0.0,3.611211822475308e-15,1.2079958933264456e-14,0.0,5.169468680791738e+30,4.44669358494475e+31,25.0
fno_blocks.convs.0 [Imag],3.742209857939951e-16,5.859749217637086e-16,0.0,1.5188184335158862e-15,4.668617217244699e-16,0.0,2.0346587123965125e-15,1.3645544187707132e-15,0.0,4.635556315890241e+25,4.094011612936419e+26,21.0
fno_blocks.convs.1 [Real],2.0009594417390402e-16,3.583148222539837e-16,0.0,9.920665343571813e-16,4.699218305787875e-16,0.0,2.1077990829613383e-15,2.9557714682844776e-15,0.0,2.5209508906239478e+28,2.254807018941587e+29,19.0
fno_blocks.convs.1 [Imag],1.9622255597090187e-16,3.708328464913629e-16,0.0,9.502416756837861e-16,4.888114530837526e-16,0.0,2.9256105569351185e-15,1.189626508582692e-14,0.0,4.637441317900675e+26,3.3147818607088894e+27,26.0
fno_blocks.convs.2 [Real],1.1303526859732016e-17,3.8000266310616666e-17,0.0,1.4612963695230357e-16,2.1606040812798907e-16,0.0,2.860274627888472e-15,1.634064268797865e-14,0.0,3.489627658699639e+30,2.1737491357889098e+31,21.0
fno_blocks.convs.2 [Imag],1.0641604378244928e-17,3.060511142126132e-17,0.0,1.9817541937571272e-16,3.3001149169783223e-16,0.0,6.339774683122031e-15,3.588695674257612e-14,0.0,2.2016001171040125e+30,2.001170092471983e+31,16.0
fno_blocks.convs.3 [Real],3.461334773738144e-22,3.416843481410078e-21,0.0,3.101506942230012e-17,2.372608301584069e-16,0.0,2.847865942880935e-14,2.729472847257214e-13,0.0,2.9149245396137234e+27,2.3570578598847522e+28,19.0
fno_blocks.convs.3 [Imag],8.953300655802628e-21,8.895329217533556e-20,0.0,2.1603909871751218e-18,1.1931828093933166e-17,0.0,8.099485321470548e-16,2.820044524814987e-15,0.0,3.114679438703928e+27,2.4714486142436737e+28,21.0
fno_blocks.fno_skips.0.conv,1.8771959262706594e-15,2.5991272805023696e-16,0.0,9.21226735150891e-15,1.6025271438942492e-14,0.0,2.8259023611929977e-12,7.185631813368696e-12,0.0,6.137585004960402e+28,3.931139783488332e+29,17.0
fno_blocks.fno_skips.1.conv,1.6612611995930417e-15,3.3308020588701127e-16,0.0,1.159842332878761e-14,2.257749010518988e-14,0.0,4.783512893525581e-12,1.5897568646831e-11,0.0,3.5354740032541485e+26,3.0933414824875286e+27,11.0
fno_blocks.fno_skips.2.conv,1.0855341950644524e-15,5.150495068007815e-16,0.0,4.980133803848443e-14,7.774493557049442e-14,0.0,1.4590923630064653e-11,3.906769626592429e-11,0.0,2.566765513025405e+28,1.4804611409313538e+29,10.0
fno_blocks.fno_skips.3.conv,4.2102322994479605e-16,5.672592203416423e-16,0.0,1.4448958692234242e-13,2.1009601145470655e-13,0.0,8.04962643227546e-11,2.883079067943598e-10,0.0,4.6783238077395714e+29,3.9793623962111705e+30,24.0
fno_blocks.channel_mlp.0.fcs.0,1.9477146052440107e-15,3.0388050312696685e-16,0.0,6.170352323819069e-14,9.251612623397405e-14,0.0,2.8301030577459563e-11,1.1787334285805077e-10,0.0,2.5211895761344727e+30,1.6298656180541815e+31,18.0
fno_blocks.channel_mlp.0.fcs.1,1.9956518235478385e-15,6.585577242861386e-16,0.0,3.0075464615930035e-14,5.192758295613858e-14,0.0,5.208381763155195e-11,1.4863098183227783e-10,0.0,5.890392109499635e+30,5.335197330524735e+31,16.0
fno_blocks.channel_mlp.1.fcs.0,1.8741146281433787e-15,5.141858788330563e-16,0.0,7.448873657964043e-14,9.608696493747721e-14,0.0,8.357584701741299e-11,3.0305580922296296e-10,0.0,2.156674997676711e+28,1.9883560938872542e+29,14.000000000000002
fno_blocks.channel_mlp.1.fcs.1,1.761695472953755e-15,7.013401439607737e-16,0.0,8.922362042112408e-14,1.7721736052911857e-13,0.0,4.4980617574152445e-10,1.6923157249810144e-09,0.0,3.5740514709483984e+30,3.261903177060921e+31,11.0
fno_blocks.channel_mlp.2.fcs.0,1.785331663600348e-15,1.7166677637245418e-15,0.0,1.945720895731174e-13,3.6786858919170453e-13,0.0,3.771225343540556e-10,1.2066550251886995e-09,0.0,3.7796726760916444e+29,3.2247739661823526e+30,17.0
fno_blocks.channel_mlp.2.fcs.1,1.0273811393640382e-15,7.41315531547623e-16,0.0,9.605073151393124e-14,2.429175154593289e-13,0.0,4.1435929807099086e-10,9.94800774113519e-10,0.0,5.485492081797472e+29,5.0521324040602056e+30,14.000000000000002
fno_blocks.channel_mlp.3.fcs.0,2.7711816104658093e-15,5.55721276557248e-15,0.0,1.0647809313638247e-12,1.883465664875633e-12,0.0,4.755547521238955e-09,2.5260502609205333e-08,0.0,7.649890058941302e+29,4.955308463158519e+30,14.000000000000002
fno_blocks.channel_mlp.3.fcs.1,7.62413934786273e-16,2.4289021753510132e-15,0.0,2.6334118492437697e-13,5.26189176668056e-13,0.0,2.400058085325376e-09,7.48315601145874e-09,0.0,7.882264940676278e+31,4.6016539342814295e+32,24.0
