Layer,Q1 (bits 0-7)_MSE,Q1 (bits 0-7)_Std,Q1 (bits 0-7)_NaN%,Q2 (bits 8-15)_MSE,Q2 (bits 8-15)_Std,Q2 (bits 8-15)_NaN%,Q3 (bits 16-23)_MSE,Q3 (bits 16-23)_Std,Q3 (bits 16-23)_NaN%,Q4 (bits 24-31)_MSE,Q4 (bits 24-31)_Std,Q4 (bits 24-31)_NaN%
fno_blocks.convs.0 [Real],6.013308856585298e-12,2.1771850791236847e-12,0.0,2.7982910454809372e-11,1.123882616694672e-11,0.0,1.4380457619104263e-08,2.123770484423004e-08,0.0,1.933345181125699e+32,1.933345181125699e+32,98.0
fno_blocks.convs.0 [Imag],7.43081331908103e-12,1.882743601364062e-12,0.0,3.717964281834806e-11,1.4516052587154857e-11,0.0,1.9154821577687502e-08,1.9196551854916087e-08,0.0,,,100.0
fno_blocks.convs.1 [Real],4.8326707053443144e-12,1.823417078538035e-12,0.0,2.1400393117299538e-11,8.6111477449184e-12,0.0,2.2737982832521465e-08,7.624970893983e-08,0.0,,,100.0
fno_blocks.convs.1 [Imag],4.988165318883623e-12,2.0543274254505165e-12,0.0,2.4594023900932626e-11,8.451319746904787e-12,0.0,2.2171684497048086e-08,5.9432675960186615e-08,0.0,,,100.0
fno_blocks.convs.2 [Real],1.5452585137029973e-12,1.5731611576045692e-12,0.0,9.832119748259034e-12,5.889121733006103e-12,0.0,2.687358362757771e-08,5.0235113033720334e-08,0.0,,,100.0
fno_blocks.convs.2 [Imag],2.10350896322686e-12,2.5328927454012705e-12,0.0,1.1291407969770456e-11,7.116946198979135e-12,0.0,4.190753189898995e-08,4.915836725672073e-08,0.0,,,100.0
fno_blocks.convs.3 [Real],2.241714282301757e-12,3.0899501700004144e-12,0.0,8.913835078589761e-12,9.607931873834057e-12,0.0,2.9589870774188164e-08,3.222290550175971e-08,0.0,,,100.0
fno_blocks.convs.3 [Imag],5.34448950527313e-12,2.3939664481659056e-12,0.0,1.86353768263166e-11,6.960775532096607e-12,0.0,4.5826922469799015e-08,6.338640671954836e-08,0.0,,,100.0
fno_blocks.fno_skips.0.conv,6.61690433120723e-12,2.2599721267232706e-12,0.0,2.0498510282533548e-11,9.185240006574982e-12,0.0,8.629832940109597e-09,1.4710024114639909e-08,0.0,,,100.0
fno_blocks.fno_skips.1.conv,4.940179446457412e-12,2.700989955916681e-12,0.0,2.0390743624479605e-11,1.9365806749504885e-11,0.0,7.968941303190998e-09,1.329935150024627e-08,0.0,4.413976794524303e-08,1.3689657582050469e-08,97.0
fno_blocks.fno_skips.2.conv,3.665512264810349e-12,4.009740098269456e-12,0.0,2.6994412580044148e-11,2.8838106174618744e-11,0.0,2.513341260001167e-08,6.652506690783973e-08,0.0,,,100.0
fno_blocks.fno_skips.3.conv,8.24591921506565e-12,2.4338543801242057e-12,0.0,5.3178733540239913e-11,2.6139898291964544e-11,0.0,4.9852494468618166e-08,1.2205797980575144e-07,0.0,,,100.0
fno_blocks.channel_mlp.0.fcs.0,8.560131554145085e-12,1.7693039587111774e-12,0.0,6.641592407748013e-11,2.8955643700334923e-11,0.0,4.777415237919181e-08,5.132593157351544e-08,0.0,,,100.0
fno_blocks.channel_mlp.0.fcs.1,8.072357210052362e-12,1.9120489543519365e-12,0.0,5.8003365560957415e-11,1.9910174714989265e-11,0.0,3.597589032585625e-08,3.056042787481525e-08,0.0,,,100.0
fno_blocks.channel_mlp.1.fcs.0,5.865035321945752e-12,2.147643286454282e-12,0.0,5.069544458216916e-11,1.8431769111800705e-11,0.0,6.216141027265854e-08,1.0361102615817475e-07,0.0,,,100.0
fno_blocks.channel_mlp.1.fcs.1,4.6878000667795e-12,2.0044727156379167e-12,0.0,3.513396280425919e-11,1.2594025361600432e-11,0.0,5.9417563446080564e-08,8.932120962198511e-08,0.0,,,100.0
fno_blocks.channel_mlp.2.fcs.0,1.2666069086251195e-12,7.677419507584855e-13,0.0,2.7825267359790538e-11,1.2901385990216076e-11,0.0,1.944958359219059e-07,3.93254748335376e-07,0.0,,,100.0
fno_blocks.channel_mlp.2.fcs.1,1.7754309614929213e-12,2.855157495291121e-12,0.0,2.939452970605232e-11,2.6456496507358316e-11,0.0,3.664894959939939e-07,6.06111120991649e-07,0.0,4.5199474498325285e-06,0.0,99.0
fno_blocks.channel_mlp.3.fcs.0,1.8943409377703175e-12,3.9575785167049154e-12,0.0,3.6394447325727593e-11,4.043509867841914e-11,0.0,3.8641057290811783e-07,4.367956983792916e-07,0.0,,,100.0
fno_blocks.channel_mlp.3.fcs.1,3.6936752776067605e-12,4.987154954652585e-12,0.0,2.0351119381093384e-10,4.812490598960425e-10,0.0,1.3611038340735704e-05,4.223726968936803e-05,0.0,,,100.0
lifting.fcs.0,9.53367060503075e-12,2.43142392414016e-12,0.0,4.5406968566759137e-10,7.223806241227798e-10,0.0,2.2754021456685928e-05,6.483799863563403e-05,0.0,,,100.0
lifting.fcs.1,1.003826496255838e-11,2.5073477839603643e-12,0.0,6.299900194366506e-10,9.171936675656495e-10,0.0,5.0160551344976104e-05,7.507219472792981e-05,0.0,,,100.0
projection.fcs.0,2.4216347446621264e-14,1.5889817214343022e-14,0.0,1.4432077969502289e-09,9.32575547651567e-10,0.0,9.778732299329189e-05,6.522411743354909e-05,0.0,,,100.0
projection.fcs.1,,,0.0,,,0.0,,,0.0,,,0.0
