Layer,Q1 (bits 0-7)_MSE,Q1 (bits 0-7)_Std,Q1 (bits 0-7)_NaN%,Q2 (bits 8-15)_MSE,Q2 (bits 8-15)_Std,Q2 (bits 8-15)_NaN%,Q3 (bits 16-23)_MSE,Q3 (bits 16-23)_Std,Q3 (bits 16-23)_NaN%,Q4 (bits 24-31)_MSE,Q4 (bits 24-31)_Std,Q4 (bits 24-31)_NaN%
fno_blocks.convs.0 [Real],5.328197545391258e-12,3.9361792159466256e-12,0.0,1.0947586296316482e-11,4.7134374151135505e-12,0.0,1.5781488272926409e-09,6.487264924261927e-09,0.0,6.158706217599166e-08,4.3768350188879896e-07,23.0
fno_blocks.convs.0 [Imag],4.915352750333151e-12,3.513139069266483e-12,0.0,1.3113754454043002e-11,9.658850716264147e-12,0.0,3.510708900215466e-09,2.1571142778719006e-08,0.0,1.879258369248385e-08,5.979245245249172e-08,30.0
fno_blocks.convs.1 [Real],4.547087468348681e-12,2.519570648323061e-12,0.0,1.073044341462449e-11,4.114277457441136e-12,0.0,1.2871609692557094e-09,1.5131781190253826e-09,0.0,8.015872419833063e-09,1.053055102395368e-08,35.0
fno_blocks.convs.1 [Imag],3.7564380060521604e-12,2.8143658309266686e-12,0.0,1.0184940995184437e-11,4.803222697754963e-12,0.0,9.732685385500667e-10,1.1596685499754697e-09,0.0,2.6523991843010398e-08,9.982466375482673e-08,33.0
fno_blocks.convs.2 [Real],2.5143974637402075e-12,3.3831131204015534e-12,0.0,1.5197306498719417e-11,4.286156010977262e-11,0.0,8.099154229565455e-09,5.50908772824069e-08,0.0,5.042119417593016e-07,2.5069231885688672e-06,27.0
fno_blocks.convs.2 [Imag],3.2558083359326627e-12,4.09611378217789e-12,0.0,1.6511629689582895e-11,6.922873219290306e-11,0.0,1.511857388205865e-08,6.827623702659224e-08,0.0,1.8965061874391897e-07,8.368965956850117e-07,31.0
fno_blocks.convs.3 [Real],3.755772134072209e-12,4.645553051474765e-12,0.0,6.53057764435144e-11,1.4221843270112684e-10,0.0,8.99712355778185e-08,4.2858719900717485e-07,0.0,0.00016778355262038464,0.001336518873205342,27.0
fno_blocks.convs.3 [Imag],1.0142139446789495e-11,2.2806801721558372e-12,0.0,1.26101476626006e-10,2.352774616183033e-10,0.0,2.2216721838821903e-07,8.283046420421084e-07,0.0,2.8847813973369782e-05,9.10397179988945e-05,25.0
fno_blocks.fno_skips.0.conv,9.695691989834898e-12,1.984225310657658e-12,0.0,1.6202270888984953e-10,2.315370307008996e-10,0.0,4.5197874605893216e-07,2.9550499100649895e-06,0.0,4.3982492264085994e-05,0.00010617400136225142,28.999999999999996
fno_blocks.fno_skips.1.conv,7.359853201730805e-12,2.6094412154408417e-12,0.0,1.479093710929618e-10,2.5661039342078525e-10,0.0,1.8949780541339253e-06,8.787244758051828e-06,0.0,3.217886745018426e-05,7.509575674570577e-05,28.000000000000004
fno_blocks.fno_skips.2.conv,5.004098205707748e-12,4.334867713857117e-12,0.0,2.541442186168976e-10,4.915673409097222e-10,0.0,3.278539308830642e-06,1.597632175593168e-05,0.0,3.341302872083812e-05,7.174051261549206e-05,23.0
fno_blocks.fno_skips.3.conv,9.947462793410968e-12,2.8197845475535537e-12,0.0,5.517538047483433e-10,1.0815151162067761e-09,0.0,4.8906469015357755e-06,2.201570533246225e-05,0.0,0.0001174296251552226,0.0002476645785627643,31.0
fno_blocks.channel_mlp.0.fcs.0,1.016559740168229e-11,2.361234735619021e-12,0.0,7.706094380541261e-10,1.3420129629585336e-09,0.0,1.4920785135184112e-05,5.0230701993236725e-05,0.0,0.0007550862900752963,0.0035952904894022207,28.000000000000004
