Layer,Q1 (bits 0-7)_MSE,Q1 (bits 0-7)_Std,Q1 (bits 0-7)_NaN%,Q2 (bits 8-15)_MSE,Q2 (bits 8-15)_Std,Q2 (bits 8-15)_NaN%,Q3 (bits 16-23)_MSE,Q3 (bits 16-23)_Std,Q3 (bits 16-23)_NaN%,Q4 (bits 24-31)_MSE,Q4 (bits 24-31)_Std,Q4 (bits 24-31)_NaN%
fno_blocks.convs.0 [Real],8.013801356222406e-17,1.263345566374038e-16,0.0,5.635868247053982e-15,1.1091490153320442e-15,0.0,1.515549099579182e-13,8.346786413547217e-14,0.0,6.590265741966503e-13,1.3586243279852497e-13,94.0
fno_blocks.convs.0 [Imag],6.531231533734865e-17,9.239003953816882e-17,0.0,6.526846301999783e-15,7.111662261879214e-16,0.0,2.2339386166330298e-13,8.017437944490626e-14,0.0,,,100.0
fno_blocks.convs.1 [Real],1.1991318129197816e-17,3.278291297240253e-17,0.0,2.9549271833454528e-15,5.943401075829294e-16,0.0,2.419058593208158e-13,2.1720909022546883e-13,0.0,,,100.0
fno_blocks.convs.1 [Imag],2.5368624195443047e-17,4.1883265576913054e-17,0.0,3.480455478958532e-15,4.654204466711347e-16,0.0,3.762217101577803e-13,2.199261081335824e-13,0.0,,,100.0
fno_blocks.convs.2 [Real],9.11235181684797e-18,2.5383750785158733e-17,0.0,1.3410674970863683e-15,1.0171759147026356e-15,0.0,3.120872635314022e-13,2.2074725764235184e-13,0.0,2.40332264712825e-12,4.761719782649218e-13,98.0
fno_blocks.convs.2 [Imag],1.858726839864502e-17,6.31785604564338e-17,0.0,1.929011337516965e-15,1.5597203284392817e-15,0.0,5.805997933042163e-13,2.893654605017017e-13,0.0,,,100.0
fno_blocks.convs.3 [Real],2.2098166443797975e-17,6.56506798912168e-17,0.0,1.4777149432454104e-15,1.873394556351937e-15,0.0,3.615500484071794e-13,2.0817283325610603e-13,0.0,,,100.0
fno_blocks.convs.3 [Imag],6.387241736028418e-17,1.1005827838388733e-16,0.0,3.539317443443068e-15,7.026398397761557e-16,0.0,4.173297920076062e-13,2.2770961281303114e-13,0.0,,,100.0
fno_blocks.fno_skips.0.conv,5.32031873603623e-16,1.5403418368828926e-15,0.0,4.778727641563765e-15,2.6064575302812445e-15,0.0,8.942907487501271e-14,5.458367717945496e-14,0.0,,,100.0
fno_blocks.fno_skips.1.conv,9.387464154121265e-16,2.240248978425815e-15,0.0,3.302010088214402e-15,4.589867339970471e-15,0.0,1.1143813816659856e-13,1.4528654596823438e-13,0.0,,,100.0
fno_blocks.fno_skips.2.conv,1.808552503721807e-15,2.67343227789797e-15,0.0,6.140708128248499e-15,6.809682873560099e-15,0.0,3.978797926398429e-13,4.636716753233094e-13,0.0,,,100.0
fno_blocks.fno_skips.3.conv,5.840313901515871e-15,8.227454328966786e-16,0.0,1.3371156797297002e-14,3.083041811227825e-15,0.0,6.479028673922717e-13,6.290903134628844e-13,0.0,,,100.0
fno_blocks.channel_mlp.0.fcs.0,6.56927634406651e-15,3.333005907722511e-16,0.0,1.6583625358913455e-14,2.151805863539629e-15,0.0,1.2230930506211278e-12,7.091516573293731e-13,0.0,,,100.0
fno_blocks.channel_mlp.0.fcs.1,5.214288082264146e-15,4.1949984815434483e-16,0.0,1.6862969034607677e-14,2.6607516644013336e-15,0.0,1.900869896467751e-12,2.3469926711536576e-12,0.0,,,100.0
fno_blocks.channel_mlp.1.fcs.0,1.9966166623280913e-15,1.9212263722517281e-16,0.0,1.3455313251596266e-14,1.8908935773574864e-15,0.0,2.9056380352696923e-12,3.226708520789486e-12,0.0,3.921840630309766e-10,0.0,99.0
fno_blocks.channel_mlp.1.fcs.1,1.5194161939563227e-15,2.2377607769042336e-16,0.0,1.292957988053385e-14,2.3808506624591345e-15,0.0,4.334274735014588e-12,5.712561371911314e-12,0.0,,,100.0
fno_blocks.channel_mlp.2.fcs.0,9.189244780122988e-17,7.504365444055448e-17,0.0,8.308470435145557e-15,2.4069787411762726e-15,0.0,1.241642722789394e-11,1.2013159075434883e-11,0.0,,,100.0
fno_blocks.channel_mlp.2.fcs.1,1.3165692162426318e-15,3.2520203719900206e-15,0.0,9.13769683876402e-15,5.718418119003822e-15,0.0,1.4026758683408572e-11,1.1787416954439114e-11,0.0,3.1854082535760773e-10,0.0,99.0
fno_blocks.channel_mlp.3.fcs.0,1.977476957106849e-15,3.9292796657828094e-15,0.0,5.816419557168454e-15,7.848427538696295e-15,0.0,2.414329928985646e-11,2.641466881970712e-11,0.0,,,100.0
fno_blocks.channel_mlp.3.fcs.1,3.722084663437771e-15,4.702910644641415e-15,0.0,1.3240662230687031e-14,5.356335253678497e-15,0.0,2.7904358937604184e-11,3.029406235983655e-11,0.0,,,100.0
lifting.fcs.0,9.814646600763006e-15,4.687790160478613e-16,0.0,2.0657777713583872e-14,1.3203125018679563e-15,0.0,3.065846470546188e-11,4.4909175624710966e-11,0.0,,,100.0
lifting.fcs.1,9.84709663433262e-15,4.683873869095838e-16,0.0,1.8944502576266804e-14,1.0498746654732432e-15,0.0,5.873752556471258e-11,3.5142845402231826e-11,0.0,,,100.0
projection.fcs.0,1.017884329794417e-20,5.29689718755436e-21,0.0,6.896524775040069e-16,3.446583934715099e-16,0.0,6.231816985850663e-11,4.1135111364322474e-11,0.0,,,100.0
projection.fcs.1,,,0.0,,,0.0,,,0.0,,,0.0
