Layer,Q1 (bits 0-7)_MSE,Q1 (bits 0-7)_Std,Q1 (bits 0-7)_NaN%,Q2 (bits 8-15)_MSE,Q2 (bits 8-15)_Std,Q2 (bits 8-15)_NaN%,Q3 (bits 16-23)_MSE,Q3 (bits 16-23)_Std,Q3 (bits 16-23)_NaN%,Q4 (bits 24-31)_MSE,Q4 (bits 24-31)_Std,Q4 (bits 24-31)_NaN%
fno_blocks.convs.0 [Real],1.3547005348285654e-16,7.255815024012759e-16,0.0,1.9275833836301807e-15,3.696210579792831e-15,0.0,2.0488803529963307e-14,5.901616814208687e-14,0.0,6.6829600427463e-14,2.0144301927813743e-13,28.000000000000004
fno_blocks.convs.0 [Imag],1.451514209001981e-16,7.879690668809481e-16,0.0,1.6734464606975614e-15,3.021288910280533e-15,0.0,1.2200005065043218e-14,1.1631013422388692e-14,0.0,1.404461114233032e-13,7.203583868364262e-13,31.0
fno_blocks.convs.1 [Real],0.0,0.0,0.0,1.0767749300760443e-15,3.152083858459531e-15,0.0,9.157673753799963e-15,1.1859530620154123e-14,0.0,3.912171347063441e-14,1.4284486183804281e-13,22.0
fno_blocks.convs.1 [Imag],2.0232176038557016e-22,2.0130760983693814e-21,0.0,4.694264624178647e-16,1.1281350896783332e-15,0.0,1.0727756157174997e-14,2.7826870996999402e-14,0.0,2.77088559359923e-14,5.5866590567317204e-14,37.0
fno_blocks.convs.2 [Real],4.1984121934776326e-16,2.0955382559635865e-15,0.0,6.250738390753518e-15,2.5741748025713243e-14,0.0,1.149927406852803e-13,4.4273499285478245e-13,0.0,7.903822545733167e-13,3.6332930809519437e-12,24.0
fno_blocks.convs.2 [Imag],1.2639099567507573e-15,3.401540225474577e-15,0.0,1.1182096426890734e-14,2.485958917249844e-14,0.0,2.6069209164577694e-13,8.618332488607283e-13,0.0,1.437726808949217e-11,1.0045904601696145e-10,36.0
fno_blocks.convs.3 [Real],2.9816691785944723e-15,4.96532689388771e-15,0.0,1.487767387465075e-14,2.8553028713295155e-14,0.0,1.4897236303924285e-12,4.365134303784761e-12,0.0,8.418516547546219e-12,2.6322775082630705e-11,26.0
fno_blocks.convs.3 [Imag],7.686214230866575e-15,4.2159287708625785e-15,0.0,5.099826348031613e-14,4.9315384602755115e-14,0.0,5.851367030670743e-12,1.942769715414925e-11,0.0,1.7295603941596032e-10,6.312577329492957e-10,19.0
fno_blocks.fno_skips.0.conv,9.756116351648211e-15,4.3477980938200965e-15,0.0,5.758580273565493e-14,5.700936512799337e-14,0.0,6.528498312495546e-12,8.447573061773243e-12,0.0,5.192889403872917e-10,1.7971539291925485e-09,13.0
fno_blocks.fno_skips.1.conv,5.073324439965939e-15,3.603852628343652e-15,0.0,9.725615431585677e-14,1.1324678507105713e-13,0.0,9.038339170725094e-12,1.2950432655167937e-11,0.0,6.780540662927257e-09,4.974121913040274e-08,19.0
fno_blocks.fno_skips.2.conv,2.6552698572569905e-15,3.081819171576078e-15,0.0,1.4542978129382032e-13,1.8428392691948858e-13,0.0,2.225935164185469e-11,6.99168366880067e-11,0.0,7.01664658625714e-09,2.4216005296939058e-08,23.0
fno_blocks.fno_skips.3.conv,4.7505491467554585e-15,5.233482490529948e-15,0.0,1.640621827233864e-13,2.2508552228898523e-13,0.0,7.911429040477394e-11,3.696015569141811e-10,0.0,2.9761547947221755e-09,6.541353607668549e-09,27.0
fno_blocks.channel_mlp.0.fcs.0,9.795872902665805e-15,2.225071527971262e-15,0.0,2.0611307336243177e-13,2.1126962415030596e-13,0.0,8.848826654868304e-11,3.9030840347458873e-10,0.0,1.1677835084300424e-08,4.0338000404647094e-08,16.0
fno_blocks.channel_mlp.0.fcs.1,1.0053035409873326e-14,2.439573614039939e-15,0.0,2.6663658731264916e-13,4.0551942994000147e-13,0.0,3.261809769932757e-10,2.0483050163908626e-09,0.0,1.1893645387166045e-08,2.677630944616579e-08,15.0
fno_blocks.channel_mlp.1.fcs.0,4.75677111163125e-15,2.12947002277688e-15,0.0,2.636535903133481e-13,3.782113845180528e-13,0.0,5.01551219312139e-10,3.2531860208198663e-09,0.0,7.77988451566433e-08,2.7938352660887765e-07,17.0
fno_blocks.channel_mlp.1.fcs.1,5.130380944836714e-15,2.8358136961298054e-15,0.0,4.4162228225300733e-13,6.753627019638331e-13,0.0,5.592686051743637e-10,4.031493959228251e-09,0.0,1.2804282525340788e-07,5.574403994958857e-07,15.0
fno_blocks.channel_mlp.2.fcs.0,1.118130614153789e-15,2.780445656035726e-15,0.0,4.639977648725902e-13,9.905044502516281e-13,0.0,6.254867299644671e-10,2.9942050102806376e-09,0.0,1.5934503104552512e-07,5.139988219857608e-07,24.0
