Layer,Q1 (bits 0-7)_MSE,Q1 (bits 0-7)_Std,Q1 (bits 0-7)_NaN%,Q2 (bits 8-15)_MSE,Q2 (bits 8-15)_Std,Q2 (bits 8-15)_NaN%,Q3 (bits 16-23)_MSE,Q3 (bits 16-23)_Std,Q3 (bits 16-23)_NaN%,Q4 (bits 24-31)_MSE,Q4 (bits 24-31)_Std,Q4 (bits 24-31)_NaN%
fno_blocks.convs.0,1.2793431567076813e-15,9.863804939392367e-17,0.0,1.7654545936593156e-15,5.948913530413928e-17,0.0,1.3022621708370608e-14,3.6417965506974556e-15,0.0,1.6418681646139535e-13,6.293931322969028e-14,89.0
fno_blocks.convs.1,6.11078135240334e-16,6.015249328743635e-17,0.0,1.3681663378413505e-15,7.02617760846921e-17,0.0,3.199890861031808e-14,1.2297828157149743e-14,0.0,7.505171241219752e-13,7.478713514652676e-14,97.0
fno_blocks.convs.2,5.433161695351954e-17,1.1813978728361708e-17,0.0,6.336269846000926e-16,8.648164446025426e-17,0.0,7.093894113027e-14,2.5069356233116974e-14,0.0,1.2768706527020398e-12,5.855665915712266e-13,97.0
fno_blocks.convs.3,2.0213657563365593e-19,1.1270090613696108e-18,0.0,5.030247358595359e-17,2.3494809854665595e-17,0.0,3.7016103681273267e-13,2.370147993295205e-13,0.0,,,100.0
fno_blocks.fno_skips.0.conv,1.0675993308309204e-15,1.218921811016833e-16,0.0,1.7015279735589726e-15,5.888298572436157e-17,0.0,5.8810487698899395e-15,1.5856477896587307e-15,0.0,2.0003016159092856e-13,1.9751246121694676e-14,98.0
fno_blocks.fno_skips.1.conv,3.754591048235624e-16,5.961365685615744e-17,0.0,1.127499109524607e-15,5.972809151319792e-17,0.0,5.1856406942487136e-15,1.3748160545413096e-15,0.0,3.8626020728225444e-13,3.7559344624700673e-13,95.0
fno_blocks.fno_skips.2.conv,3.1056851210870607e-17,8.543642766627183e-18,0.0,3.1301688937553655e-16,4.704458961640064e-17,0.0,9.967646637049528e-15,3.100900954675787e-15,0.0,7.865985355297417e-13,3.5348930203317596e-13,96.0
fno_blocks.fno_skips.3.conv,3.562471084182975e-19,2.4469972658523913e-18,0.0,1.4125176042016216e-17,1.0929885475945416e-17,0.0,2.4487288355669606e-14,1.5557782415902916e-14,0.0,8.827191137362772e-12,0.0,99.0
fno_blocks.channel_mlp.0.fcs.0,1.4271837439286348e-15,8.053041359148864e-17,0.0,1.8959990757132334e-15,7.464258689084785e-17,0.0,5.957551970773546e-14,1.9554045738879653e-14,0.0,1.6383481156884974e-12,5.104845256939609e-13,97.0
fno_blocks.channel_mlp.0.fcs.1,1.4269972422978962e-15,7.92958773458667e-17,0.0,2.0234391571762236e-15,8.853715555317986e-17,0.0,3.8330609020221516e-13,2.598124103355452e-13,0.0,,,100.0
fno_blocks.channel_mlp.1.fcs.0,7.274258950296294e-16,5.915223345591407e-17,0.0,1.6816231991829315e-15,9.668221897920543e-17,0.0,1.2467154375587278e-13,4.7556016271797663e-14,0.0,3.421501038033079e-12,1.3083044915861498e-12,82.0
fno_blocks.channel_mlp.1.fcs.1,7.72533261926122e-16,5.3530963447176917e-17,0.0,2.0519842275665636e-15,1.7323934286042973e-16,0.0,9.04707981453466e-13,5.295297162474241e-13,0.0,1.5759439225147523e-10,1.968362028956468e-10,87.0
fno_blocks.channel_mlp.2.fcs.0,6.678388735055997e-17,1.2879861918291526e-17,0.0,9.018241956911482e-16,1.112936375443747e-16,0.0,3.1316877533965863e-13,2.1453061636148564e-13,0.0,1.777414486825791e-10,1.1657848777845692e-10,97.0
fno_blocks.channel_mlp.2.fcs.1,1.013334033653136e-16,1.940675655963006e-17,0.0,1.8096164348217914e-15,2.7283904836931563e-16,0.0,6.032385995188327e-12,7.2104468078077e-12,0.0,2.598742410860214e-10,1.9433496973071735e-10,97.0
fno_blocks.channel_mlp.3.fcs.0,3.7108296312940633e-19,1.9350468936921756e-18,0.0,7.808348529116342e-17,3.428819568258194e-17,0.0,7.349319169868982e-13,3.2868924546084064e-13,0.0,1.1236641940659e-10,1.3333729110506584e-10,86.0
fno_blocks.channel_mlp.3.fcs.1,1.0382809542474219e-19,5.535116696348181e-19,0.0,1.7727745003084395e-16,8.58526104868355e-17,0.0,1.5600235270999742e-11,9.604609586277652e-12,0.0,,,100.0
lifting.fcs.0,6.114477752784154e-18,1.5144197697819676e-17,0.0,9.740802506510964e-16,1.4683760540714452e-16,0.0,8.402024214453632e-14,7.70478507829804e-14,0.0,1.5081284777102277e-12,4.768674153933737e-13,96.0
lifting.fcs.1,1.7993525188215584e-15,7.696409051934984e-17,0.0,2.056682060134827e-15,7.837725144319997e-17,0.0,1.7392197571362683e-13,9.43443827480847e-14,0.0,,,100.0
projection.fcs.0,1.0312445134055109e-20,6.487230150498468e-21,0.0,7.11327544161545e-16,3.600462535181872e-16,0.0,5.9725959320856e-11,3.5585665736812263e-11,0.0,6.19809122007102e-09,4.542413431974337e-09,95.0
projection.fcs.1,9.758482513954974e-24,3.782573076649152e-24,0.0,7.199376372676e-19,2.6960963610565e-19,0.0,3.824055450763133e-14,1.3711800889825337e-14,0.0,,,100.0
