Layer,Q1 (bits 0-7)_MSE,Q1 (bits 0-7)_Std,Q1 (bits 0-7)_NaN%,Q2 (bits 8-15)_MSE,Q2 (bits 8-15)_Std,Q2 (bits 8-15)_NaN%,Q3 (bits 16-23)_MSE,Q3 (bits 16-23)_Std,Q3 (bits 16-23)_NaN%,Q4 (bits 24-31)_MSE,Q4 (bits 24-31)_Std,Q4 (bits 24-31)_NaN%
fno_blocks.convs.0 [Real],2.9797851820786844e-16,5.4352232651309515e-16,0.0,1.3681419810251401e-15,6.443593694053205e-16,0.0,5.429968038909576e-15,2.9997086172179545e-14,0.0,6.898001659702685e-15,3.2367065711187165e-14,7.000000000000001
fno_blocks.convs.0 [Imag],2.7681833043707986e-16,5.064291767896298e-16,0.0,1.376712416663038e-15,6.166760639730533e-16,0.0,2.1017786548342263e-15,2.1007397144189124e-15,0.0,7.18259691747002e-15,2.0985500191690316e-14,14.000000000000002
fno_blocks.convs.1 [Real],9.864471498343445e-17,2.23367600303589e-16,0.0,7.533900373426837e-16,5.103329889409033e-16,0.0,1.905066848980161e-15,2.8488533606828734e-15,0.0,5.111882158156068e-15,1.8940654349930627e-14,10.0
fno_blocks.convs.1 [Imag],4.5866154667517545e-17,1.544553752539344e-16,0.0,7.901062985125786e-16,5.493971743004549e-16,0.0,1.4426464784050636e-15,3.9369168650913744e-16,0.0,2.89839780106277e-15,5.688641454588121e-15,16.0
fno_blocks.convs.2 [Real],5.987277480630344e-18,1.637320159864187e-17,0.0,7.970524860153561e-17,1.3421169552404048e-16,0.0,1.7929610994498035e-15,6.073749591354934e-15,0.0,8.826126740808528e-15,4.0835304818639343e-14,12.0
fno_blocks.convs.2 [Imag],8.484613042959877e-18,2.640786961293811e-17,0.0,9.397063173405497e-17,1.568802867712016e-16,0.0,8.545271935621615e-16,1.5140885564186304e-15,0.0,5.756221679134942e-15,2.804246191441215e-14,18.0
fno_blocks.convs.3 [Real],4.0012363222853363e-23,3.799842596253835e-22,0.0,3.792882536676485e-18,3.546343025330978e-17,0.0,5.931155718704138e-16,3.3684753779431082e-15,0.0,2.1158753479676573e-15,9.699254705097823e-15,16.0
fno_blocks.convs.3 [Imag],1.6313849962925666e-19,1.6231990634157833e-18,0.0,1.229799124456108e-18,6.74119093772296e-18,0.0,5.973210231644478e-16,4.91539332332452e-15,0.0,5.0637247537841375e-15,2.3326669952049484e-14,11.0
fno_blocks.fno_skips.0.conv,1.811708137230603e-15,2.5965435437966137e-16,0.0,4.3010291163716656e-15,5.6001963152777615e-15,0.0,1.8428182845613805e-12,6.135214578647316e-12,0.0,3.150246824338373e-11,1.1437087582581047e-10,13.0
fno_blocks.fno_skips.1.conv,1.517190596809886e-15,3.3320475114304526e-16,0.0,9.855104387561077e-15,1.6008071601734064e-14,0.0,1.3189425701478178e-12,3.109353367035286e-12,0.0,1.0728729483207763e-10,6.719578603256863e-10,7.000000000000001
fno_blocks.fno_skips.2.conv,8.341923056085222e-16,5.713720796405672e-16,0.0,1.9142463817064433e-14,4.1432422721554024e-14,0.0,5.010708860941484e-12,1.816891502073965e-11,0.0,4.6558512146597324e-10,2.2704651738100685e-09,8.0
fno_blocks.fno_skips.3.conv,2.6216881387137887e-16,3.3567411320754615e-16,0.0,5.82094939782212e-14,1.3902402596383803e-13,0.0,1.181884237747281e-11,2.630439616083481e-11,0.0,1.1824645266521507e-09,5.207533081393663e-09,12.0
fno_blocks.channel_mlp.0.fcs.0,1.81260542326619e-15,2.7827659293202927e-16,0.0,2.4374027999210936e-14,6.775592179826133e-14,0.0,6.038995257021693e-12,1.9210514516523554e-11,0.0,2.276748973836037e-10,1.3938850576421772e-09,5.0
fno_blocks.channel_mlp.0.fcs.1,1.814988566874553e-15,2.981634965590472e-16,0.0,2.7346572698551983e-14,1.0335879248702992e-13,0.0,1.5396113947852394e-11,4.366509214149188e-11,0.0,2.023763150407232e-09,5.6266513403214535e-09,8.0
fno_blocks.channel_mlp.1.fcs.0,1.6641656367115402e-15,4.3275230649295906e-16,0.0,8.053319513099253e-14,1.8807641656440143e-13,0.0,9.275698361676417e-11,5.078974283960663e-10,0.0,8.915329413782669e-09,3.118865697363564e-08,3.0
fno_blocks.channel_mlp.1.fcs.1,1.6405629415576757e-15,9.384764062553296e-16,0.0,2.2624275466879128e-14,4.1075021983769017e-14,0.0,7.625546084273194e-10,4.356633545258904e-09,0.0,2.6643299580752518e-08,1.1506965215633743e-07,11.0
fno_blocks.channel_mlp.2.fcs.0,9.266882891930612e-16,7.080611133400261e-16,0.0,8.579122409000529e-14,1.8903591165356548e-13,0.0,1.9650399769397123e-10,1.4285637858874214e-09,0.0,1.6615545791014832e-07,1.5073955595907191e-06,2.0
fno_blocks.channel_mlp.2.fcs.1,8.07742862296779e-16,6.735302305933371e-16,0.0,1.1272316392263027e-13,3.54925516664226e-13,0.0,1.0565119744735493e-10,4.824331373956403e-10,0.0,7.56227938462167e-08,4.3137936348886057e-07,5.0
fno_blocks.channel_mlp.3.fcs.0,1.1291000241056401e-15,2.3558681479268784e-15,0.0,4.1922525299307374e-13,9.933457662816193e-13,0.0,5.320756234358117e-10,1.5002493700812562e-09,0.0,1.76108003215961e-07,8.312487444329035e-07,6.0
fno_blocks.channel_mlp.3.fcs.1,4.2578599959361356e-16,2.2771789500780277e-15,0.0,4.642674619699775e-14,1.1598101562864023e-13,0.0,4.0183639436964505e-09,2.416188088304858e-08,0.0,4.160755555651163e-08,1.1403619130837152e-07,13.0
